time,open,high,low,close,volume
2023-03-29 23:03:00,1792.26,1792.63,1792.02,1792.49,106.6352
2023-03-29 23:04:00,1792.49,1793.11,1792.0,1793.0,514.7566
2023-03-29 23:05:00,1793.01,1793.46,1793.0,1793.44,152.3562
2023-03-29 23:06:00,1793.44,1793.7,1793.23,1793.7,137.1184
2023-03-29 23:07:00,1793.7,1793.89,1793.36,1793.89,250.2481
2023-03-29 23:08:00,1793.89,1794.44,1793.8,1794.44,162.3442
2023-03-29 23:09:00,1794.44,1795.82,1794.43,1795.71,322.1537
2023-03-29 23:10:00,1795.72,1796.01,1795.04,1795.3,335.2322
2023-03-29 23:11:00,1795.3,1795.87,1794.93,1795.64,232.2408
2023-03-29 23:12:00,1795.64,1799.24,1795.6,1795.79,1538.3202
2023-03-29 23:13:00,1795.8,1800.0,1795.42,1796.57,1063.7885
2023-03-29 23:14:00,1796.56,1799.4,1796.56,1797.6,1346.0899
2023-03-29 23:15:00,1797.6,1797.6,1795.84,1796.4,574.5387
2023-03-29 23:16:00,1796.23,1797.33,1796.23,1796.58,411.1265
2023-03-29 23:17:00,1796.58,1796.59,1795.97,1795.97,271.994
2023-03-29 23:18:00,1795.97,1796.86,1795.97,1796.66,172.3433
2023-03-29 23:19:00,1796.66,1796.66,1795.84,1795.85,117.6331
2023-03-29 23:20:00,1795.84,1796.01,1795.33,1796.01,158.738
2023-03-29 23:21:00,1796.0,1796.01,1795.2,1795.23,152.3201
2023-03-29 23:22:00,1795.23,1796.07,1795.22,1795.82,192.0403
2023-03-29 23:23:00,1795.83,1795.83,1795.25,1795.25,94.3109
2023-03-29 23:24:00,1795.25,1795.26,1794.45,1795.23,348.8059
2023-03-29 23:25:00,1795.23,1795.65,1795.23,1795.65,127.4394
2023-03-29 23:26:00,1795.65,1796.22,1795.64,1796.22,119.1851
2023-03-29 23:27:00,1796.21,1797.03,1796.21,1796.93,274.4652
2023-03-29 23:28:00,1796.94,1797.26,1796.78,1796.79,133.2805
2023-03-29 23:29:00,1796.78,1797.09,1796.71,1797.09,71.5881
2023-03-29 23:30:00,1797.09,1797.09,1796.66,1796.98,86.6129
2023-03-29 23:31:00,1796.99,1797.6,1796.08,1796.3,242.4176
2023-03-29 23:32:00,1796.3,1796.31,1795.65,1795.84,135.2628
2023-03-29 23:33:00,1795.83,1796.24,1795.56,1795.57,93.0006
2023-03-29 23:34:00,1795.56,1795.96,1795.37,1795.37,128.0801
2023-03-29 23:35:00,1795.37,1795.38,1795.12,1795.23,99.7098
2023-03-29 23:36:00,1795.23,1795.9,1795.04,1795.89,150.6779
2023-03-29 23:37:00,1795.9,1795.9,1794.98,1794.99,111.127
2023-03-29 23:38:00,1794.98,1794.99,1793.66,1793.67,136.53
2023-03-29 23:39:00,1793.66,1794.5,1793.66,1794.25,158.4437
2023-03-29 23:40:00,1794.26,1794.87,1793.44,1793.44,241.5444
2023-03-29 23:41:00,1793.44,1793.92,1793.17,1793.18,112.2483
2023-03-29 23:42:00,1793.17,1793.72,1791.85,1793.72,202.4425
2023-03-29 23:43:00,1793.72,1793.72,1792.92,1792.93,87.2092
2023-03-29 23:44:00,1792.93,1794.04,1792.92,1794.04,69.3543
2023-03-29 23:45:00,1794.03,1794.04,1793.44,1793.45,71.2004
2023-03-29 23:46:00,1793.44,1794.3,1793.44,1793.66,95.8016
2023-03-29 23:47:00,1793.65,1793.83,1793.0,1793.82,170.983
2023-03-29 23:48:00,1793.83,1794.35,1793.55,1794.35,70.7174
2023-03-29 23:49:00,1794.35,1794.79,1793.84,1794.11,169.0717
2023-03-29 23:50:00,1794.11,1794.42,1794.11,1794.41,37.6012
2023-03-29 23:51:00,1794.42,1794.42,1794.24,1794.25,72.7928
2023-03-29 23:52:00,1794.25,1794.25,1793.98,1794.07,96.5478
2023-03-29 23:53:00,1794.07,1794.07,1793.93,1793.94,47.072
2023-03-29 23:54:00,1793.93,1793.94,1792.36,1792.37,359.4101
